Application_Number,y_test,prediction
125000,585200.0,573604.5274297807
81563,497000.0,492658.2368907746
71754,302000.0,298896.0229197493
14272,682000.0,672817.6881441087
172054,941000.0,939350.2838732213
61963,586800.0,568594.9322615127
86985,739000.0,734082.7620138563
61124,415880.0,411614.16887245135
84404,1302000.0,1258415.2548241913
69428,486000.0,479973.89235369774
73062,1002000.0,985044.6111500559
42303,516600.0,507554.8913762377
108534,377000.0,383577.84918174485
175439,630810.0,623033.200096787
151423,997000.0,990264.7015567988
101589,430888.0,429459.8860342849
6288,802000.0,764289.3241254508
48121,572000.0,564340.973386486
105612,252000.0,252493.4167748054
163403,135000.0,136719.6250073427
20918,302000.0,304697.913162488
25341,465880.0,472885.3644659635
131696,396051.0,399071.03100109193
25789,127000.0,126829.96032518847
172323,798000.0,798223.7430749808
6004,692000.0,692073.3752437709
47730,602000.0,604222.614916901
144652,404640.0,413954.6992722294
51243,668000.0,656387.0397219771
79647,166888.0,165861.46188799202
25891,467000.0,456173.7891562601
11635,477000.0,481527.0863834689
107106,222000.0,227925.15905717138
181224,352000.0,359264.07983319677
157164,595500.0,599851.6961702885
23912,242000.0,241005.62760983917
60735,527000.0,512716.56313762045
163209,297000.0,307540.80075579375
16711,297000.0,303206.0607804785
147893,541000.0,537332.1858341473
50686,232000.0,233764.8117634093
86582,536500.0,524955.3275812707
184722,1195400.0,1197313.5027811052
62121,815000.0,812364.6403654496
126535,667000.0,667077.2786498172
60532,831900.0,806119.7857482119
76239,637000.0,642078.7378610227
82213,754500.0,750221.7618611202
150559,1517000.0,1544391.9482555366
54599,377000.0,376081.19819939317
93575,449000.0,439732.4105738682
125198,902000.0,890234.2640225666
33306,887000.0,890094.3133977684
106116,3502000.0,3537568.164102323
147108,282000.0,284363.2163059936
172345,497000.0,505347.3800235616
110026,147000.0,143753.92844413844
40928,202000.0,196747.79388559907
118965,548380.0,556429.6123337786
115673,394800.0,389817.16739318095
121970,682000.0,667510.5905536726
88200,300000.0,297558.289750589
22873,843000.0,857858.4559224048
108548,482000.0,472977.8433326817
76289,666423.0,668581.2988965199
74950,452000.0,445711.86116144806
63170,672000.0,677662.9956653744
12215,177000.0,177764.05055174755
139302,407750.0,410666.7630616543
89445,417000.0,419910.413340328
76200,552000.0,546985.3958048219
144705,470888.0,470024.01491459337
167935,57000.0,58009.385806129176
148720,670100.0,671261.8958121388
28845,197000.0,195061.25392904316
2490,157000.0,168530.2083118666
175010,352000.0,360954.0176445285
90606,652000.0,639765.0704016627
126824,582000.0,581951.1504643103
29937,447000.0,451127.3778205344
71648,302000.0,299236.63423505245
130779,377000.0,376220.1801883398
40337,297000.0,289200.68555823027
37814,505700.0,504243.26821851573
74645,497000.0,502109.16563647287
175714,242000.0,259506.89236377616
26162,392000.0,384595.25112713355
43014,233200.0,237777.46458838595
185986,301000.0,295435.47054566967
91769,1397000.0,1377233.1634747165
84054,621000.0,633921.1322314278
60143,1035000.0,1061242.9338825354
125638,422000.0,421547.9140634652
47581,297000.0,291247.12518495345
186002,442000.0,435393.77139842586
110334,302000.0,299654.8558398657
182948,563888.0,557719.1652708603
128250,310900.0,310711.6952192976
57987,377000.0,378911.45452146174
56503,172000.0,167854.24288349727
119443,602482.0,609452.2496356209
167435,277000.0,278276.9834799538
98551,257000.0,258638.7341048725
167710,4002000.0,3820378.193094521
59771,97000.0,100437.48836797391
49983,1547000.0,1498485.0778437979
16475,666000.0,659057.9035341919
39112,552000.0,549406.1452157911
185920,192000.0,199298.04989019604
158281,447000.0,446659.6802005721
71943,292000.0,299015.56709140766
60666,242000.0,244935.62735778978
47062,592000.0,579209.7228982714
103583,597000.0,601116.1769959789
119879,1597000.0,1541414.9951852842
145362,277000.0,276302.0890408369
149744,576888.0,581392.3159353485
132347,667000.0,666398.2034796879
270,461000.0,461663.0605602269
149285,572750.0,574297.6708763983
96046,589800.0,568807.9616660215
175631,167000.0,165763.9907423785
167030,262000.0,266837.74663498526
158867,427000.0,425104.7175920159
32750,427000.0,424804.4337765548
87900,402000.0,393869.655089467
177268,880100.0,904927.4255037765
146381,630000.0,621136.9003921114
155319,297000.0,296089.41591147636
42054,452000.0,437162.29690260376
34158,367000.0,361301.482326842
77191,330900.0,343282.2158806442
106710,210800.0,213941.2061845825
35187,197000.0,195564.04467758065
89973,2097000.0,2116591.726017305
37246,565800.0,569111.1865369967
47265,608888.0,608676.5026836209
132958,367000.0,359786.4049415361
150029,497000.0,493990.8922576384
18301,317000.0,311359.6171017911
184006,212000.0,206782.77756429405
111132,1132000.0,1138388.965332125
148567,307000.0,302441.9698997827
114678,307000.0,314092.8121517665
57406,362000.0,357460.6580748468
76993,506900.0,511738.3432815
16588,418500.0,417683.45893137297
106483,232000.0,227462.7549750646
47620,661800.0,642917.7470661427
120342,414430.0,410150.4676758636
122706,477000.0,483988.4218238174
26176,672558.0,682372.2974587765
41272,322000.0,328037.8653690993
3552,4202000.0,4083619.458558065
78621,367000.0,365780.03420743975
120469,97000.0,97019.09703857265
19114,439000.0,440091.24636890047
28304,152000.0,154896.1035440402
132179,997000.0,990632.0094045897
96064,982000.0,951815.196589029
75776,192000.0,184788.42930799007
90884,345800.0,346406.2837219029
61727,297000.0,292188.7079614554
124017,1897000.0,1869959.0467650453
139235,300800.0,305944.82083047426
180927,353500.0,356807.174915849
26970,562500.0,557184.4580954454
115726,452000.0,451075.94869467325
15768,1402000.0,1442648.9981525878
90830,302000.0,299743.6044824558
62834,382000.0,382729.0536382685
45332,302000.0,302912.40038420656
145268,302000.0,304945.8551052082
14340,402000.0,394544.6534348448
63003,447000.0,429021.44624967134
155045,377000.0,376755.06981445494
42482,252000.0,247019.43114398344
122847,277800.0,274631.11209294386
163493,112000.0,111190.35707290759
22387,157000.0,155762.98201742372
134327,447000.0,449176.0136883146
127242,360000.0,355164.68906614534
10722,302000.0,296536.10951592174
163714,642000.0,644402.7744433793
96811,417000.0,411358.8115136849
89263,892160.0,890511.2671156183
71070,698000.0,742082.6992850885
131230,44000.0,46764.651744003626
129112,182000.0,182360.13514414307
173472,255800.0,252689.8563402556
118983,472000.0,471998.3042115922
37349,498800.0,500279.04975405335
89232,192000.0,190457.15840691657
163754,802000.0,790425.4106738814
71800,1050800.0,1068707.6982748243
1845,107000.0,103692.07570053269
52596,322000.0,330828.26936003024
123145,197000.0,191737.8726357913
185451,618000.0,620973.7938688302
64079,217000.0,215397.24028306224
184323,297000.0,297597.9101206574
19862,752000.0,748288.9420044397
98347,539800.0,540904.580288146
19889,527800.0,527950.450222994
115451,337000.0,345319.3414923383
146291,534800.0,534911.9010034287
2602,596000.0,601430.7428007666
151768,232000.0,236808.84216793242
111380,242000.0,265251.6463135118
61548,440710.0,434902.73376547033
92472,302000.0,298688.01248843607
18636,647000.0,649231.4401950784
19800,200000.0,202492.1779760743
140650,432000.0,442535.56306815136
87173,243960.0,234425.9040717362
53645,247000.0,251265.7876767369
90810,252000.0,256744.29464397882
70872,597888.0,607047.9727770732
98795,660000.0,660249.9995888243
60519,355000.0,346333.1053735152
50863,62000.0,60929.44972450178
147547,551000.0,545632.2310991335
79320,302000.0,303316.2477596305
130999,627000.0,586152.6465958917
168037,97000.0,99126.21635157257
118166,752000.0,771909.9504881416
27450,705000.0,689374.9028769061
137229,667000.0,670231.5209217919
108260,352000.0,356986.51011744747
25660,162000.0,159935.6385419075
144154,796000.0,817390.4757445222
5513,237000.0,237236.43768845988
164292,672000.0,689387.5136668395
130202,720000.0,719087.1988383835
145360,787000.0,801677.7455216281
50323,117000.0,111631.66140268845
10220,615000.0,615312.6370145807
173561,629888.0,624692.2980180276
147826,942000.0,944917.7684322338
176544,454675.0,458875.870164355
55870,1002000.0,1061427.605820072
143671,385888.0,388847.2554316208
107912,346000.0,351743.0935606936
182970,282000.0,284143.7273492766
79361,612000.0,606007.4866828131
131434,952000.0,956104.0815539688
172837,742800.0,745670.6769484995
176827,184000.0,202877.50174855467
114513,697000.0,685418.5662505169
133015,535000.0,537165.6144397475
83764,302000.0,317163.6653412554
102845,480507.0,482542.12653483765
125639,741590.0,739242.2144346674
67254,882000.0,914924.9458121313
16434,615639.0,615789.6706670271
105634,462000.0,463422.6907027289
153236,252000.0,254102.37597548816
12996,656800.0,656078.5796665796
117423,97000.0,100808.845755169
152354,752000.0,737119.4061298112
140738,1502000.0,1472835.8078343777
128151,1847000.0,1739391.9260578693
35257,840000.0,828573.1923793898
154655,269000.0,268599.5593323448
10969,1147000.0,1145574.7494089408
152716,1502000.0,1477850.5481159957
121091,1407000.0,1398194.2573811072
134713,1917000.0,1839327.6863573494
178035,537000.0,532961.4283188635
38943,329700.0,329149.0712606777
87030,233200.0,244345.01368965564
39805,537000.0,526252.0453913995
34505,147000.0,148971.4840076395
64392,90000.0,89722.8792668722
24889,847000.0,838822.2517135871
106703,172500.0,177059.0185266696
148412,102000.0,101477.41301449484
30223,647000.0,697850.058371726
7513,247000.0,241100.95774577546
108607,377000.0,373929.80451910855
160295,182000.0,181360.87342043134
7268,296900.0,292800.37019694236
6221,579000.0,570698.8919176862
69647,597000.0,602162.1571294386
109095,377000.0,379241.29572977964
59589,950000.0,936440.3489209834
9190,652000.0,651526.7896727554
139356,382000.0,394359.90478429606
28265,517000.0,513746.25565871585
22560,574000.0,572121.0999722844
151086,1487000.0,1538033.2509418547
70295,272000.0,264814.29191462597
66836,768000.0,749179.5527504033
125276,490000.0,493233.31250754127
25598,417000.0,444350.73868618696
72792,463000.0,460892.344971305
52582,592000.0,604667.0814691676
27393,555500.0,552604.8365481277
68068,1752000.0,1705038.3665102883
46391,387000.0,391390.91308504256
45426,452000.0,455351.49889641954
43982,537000.0,536034.0658781077
172381,1561000.0,1538256.1082103548
51653,485800.0,489603.69612017355
74098,794000.0,786169.9732056414
51903,497000.0,499802.0288176517
86665,217000.0,214291.16680565197
23729,247000.0,264101.52959629515
54873,665000.0,665058.17379116
45530,252000.0,262011.11481095274
147795,324000.0,326795.7979661135
138033,905000.0,904159.2084596577
79242,692000.0,679470.2822646121
139178,302000.0,303171.88564660086
169222,356000.0,350350.67202170286
45499,407000.0,410654.5487373658
82283,635000.0,636363.7721679743
18459,3408000.0,3468089.8905117987
155992,602000.0,596823.9781188052
90399,274830.0,277172.57485833263
3134,352000.0,348292.3616262268
35842,1102000.0,1095140.5004896352
140989,437000.0,434183.6064648604
152580,202000.0,195165.50766749997
123684,157000.0,155254.14746859914
98828,423200.0,415934.9439183099
89531,407000.0,420841.7338091727
33904,412000.0,417218.6978698656
138123,347000.0,347904.26050341746
91625,465000.0,472900.18039695243
112571,87000.0,90662.0903409654
90082,252000.0,254583.08196389236
2067,117000.0,117378.93848311924
164920,594000.0,598878.2866100668
59914,602000.0,608924.0404703227
159373,517000.0,507525.2545783099
132549,762000.0,753158.3716064296
93022,1019420.0,1021378.6438440594
37099,217000.0,215604.97406600442
167458,574500.0,571260.7547635172
136483,1780800.0,1767477.9457270089
179747,206500.0,211745.24020648544
18757,577000.0,587079.4117377911
128083,360000.0,361923.42995031364
174780,342000.0,334487.17387862847
36720,452000.0,449004.9964571084
88295,567000.0,560422.901569748
78254,523000.0,519217.6229971881
124845,1339000.0,1324279.1516767857
34701,359000.0,349303.91187655414
10737,747000.0,740172.1841739721
143263,1797000.0,1929737.9824089485
120754,570000.0,579674.1544046137
100408,1402000.0,1326910.0790352984
139403,528525.0,538483.3304309786
146242,372000.0,371526.1177122941
49370,362000.0,369636.39395327226
106095,417000.0,414026.8443998629
67648,237000.0,238694.39195920678
10122,117000.0,115476.85599985861
34006,450000.0,454952.07060854783
178513,297500.0,300073.0880627926
9291,242000.0,244922.48602729308
49261,547000.0,565687.4678105223
51751,237000.0,236666.12390069364
169112,347200.0,351827.4196854754
3554,852000.0,865694.9036192233
67521,497600.0,495475.905061888
176727,488800.0,483741.1619081078
8771,777000.0,772074.8314848053
35878,830000.0,890299.9522284212
23441,1047000.0,1047536.6120607965
37452,322000.0,321133.89423490636
96894,637000.0,640162.5866732991
183603,2112800.0,2146560.543913189
183363,417000.0,430668.94210082164
14022,617900.0,616156.4479996728
59645,457000.0,456898.037119142
175085,3347000.0,3232472.160566229
58021,636000.0,657049.910972289
96877,127000.0,129037.57470026397
153024,552000.0,543297.3902233436
2788,592000.0,590638.5703361045
17021,650888.0,682312.5221114012
78945,482000.0,477161.10544782557
130162,270000.0,251342.5069472028
123033,357000.0,364856.52933083137
46807,532000.0,544427.8421176261
129247,619050.0,598214.7682875362
137502,302000.0,307932.82867275784
7863,107000.0,106317.9456028277
152173,547000.0,543483.0656901432
36461,847000.0,825588.6361478351
43882,142000.0,139622.57441111634
101060,701360.0,693303.0454209426
160887,597000.0,604161.0674139478
109925,647500.0,639271.6863450398
18103,97000.0,98892.31604169025
125958,395800.0,389356.5826261482
174022,382000.0,378807.64526650077
172196,932000.0,976096.0162113099
74582,502000.0,498579.2759547939
156158,152000.0,156764.17319424855
39202,336200.0,339023.96754171833
52183,402000.0,392836.74650335615
61850,852000.0,833048.4311055475
21524,682000.0,685022.3166139527
69812,592000.0,596637.3600835655
27666,802000.0,795613.0636021409
106910,360800.0,362220.9426753349
156975,818380.0,824131.3400744915
8788,432000.0,424423.09475718345
134413,1397000.0,1343054.7497564966
184973,897000.0,893142.1951621147
175471,542775.0,540765.9017789668
4049,597000.0,605254.8984733864
8818,603710.0,609570.0891383351
149471,508000.0,497472.80527861294
46392,489800.0,486211.5581621956
14289,387000.0,390397.5259843019
96405,369500.0,366088.6216510204
52278,452000.0,439798.30141222314
4783,501000.0,491388.07859358314
74761,337000.0,349452.67045617563
67985,387000.0,382913.04214205686
180570,542000.0,537928.4455469662
1022,1087363.0,1065017.7189798888
44542,252000.0,249983.57989041402
152376,582000.0,582645.5244576859
185531,195000.0,197663.13670350407
156996,292000.0,297678.46572090016
113441,361000.0,366949.41310469783
